
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0         20 K
Registry                       120 Services                   0     41,892 K
smss.exe                       520 Services                   0        352 K
csrss.exe                      728 Services                   0      2,232 K
wininit.exe                    832 Services                   0        944 K
csrss.exe                      840 Console                    1      4,008 K
services.exe                   904 Services                   0      7,920 K
lsass.exe                      924 Services                   0     17,972 K
svchost.exe                    544 Services                   0        700 K
svchost.exe                    584 Services                   0     29,980 K
WUDFHost.exe                     8 Services                   0      4,332 K
fontdrvhost.exe                656 Services                   0        876 K
svchost.exe                   1048 Services                   0     18,724 K
svchost.exe                   1104 Services                   0      3,956 K
WUDFHost.exe                  1156 Services                   0      1,712 K
winlogon.exe                  1256 Console                    1      4,876 K
fontdrvhost.exe               1312 Console                    1     10,116 K
dwm.exe                       1388 Console                    1    178,152 K
svchost.exe                   1484 Services                   0      3,908 K
svchost.exe                   1492 Services                   0      3,692 K
svchost.exe                   1612 Services                   0      4,760 K
svchost.exe                   1624 Services                   0      2,620 K
svchost.exe                   1744 Services                   0      1,876 K
svchost.exe                   1756 Services                   0      9,024 K
svchost.exe                   1812 Services                   0      2,228 K
svchost.exe                   1892 Services                   0      4,580 K
svchost.exe                   2028 Services                   0     13,008 K
svchost.exe                   1872 Services                   0      5,928 K
svchost.exe                   2124 Services                   0      1,792 K
svchost.exe                   2188 Services                   0      7,384 K
svchost.exe                   2320 Services                   0      7,964 K
svchost.exe                   2356 Services                   0      4,948 K
svchost.exe                   2400 Services                   0      3,820 K
NVDisplay.Container.exe       2440 Services                   0      5,000 K
svchost.exe                   2492 Services                   0      6,520 K
svchost.exe                   2616 Services                   0      3,420 K
svchost.exe                   2624 Services                   0      1,444 K
svchost.exe                   2644 Services                   0     14,332 K
svchost.exe                   2652 Services                   0      6,336 K
svchost.exe                   2728 Services                   0      8,164 K
svchost.exe                   2764 Services                   0      1,204 K
svchost.exe                   2796 Services                   0      2,476 K
svchost.exe                   2836 Services                   0      5,432 K
svchost.exe                   2956 Services                   0      4,296 K
Memory Compression            2964 Services                   0    768,508 K
igfxCUIService.exe            3056 Services                   0      2,172 K
svchost.exe                   3028 Services                   0      6,368 K
svchost.exe                   3076 Services                   0      3,960 K
svchost.exe                   3108 Services                   0      5,252 K
svchost.exe                   3176 Services                   0      3,332 K
dasHost.exe                   3308 Services                   0      9,992 K
NVDisplay.Container.exe       3336 Console                    1     17,472 K
svchost.exe                   3356 Services                   0      4,160 K
svchost.exe                   3456 Services                   0     10,140 K
svchost.exe                   3552 Services                   0     15,544 K
WmiPrvSE.exe                  3752 Services                   0      9,828 K
svchost.exe                   3792 Services                   0     12,904 K
svchost.exe                   3920 Services                   0      3,676 K
RtkAudioService64.exe         4000 Services                   0      2,052 K
svchost.exe                   4164 Services                   0      2,648 K
svchost.exe                   4172 Services                   0      4,820 K
svchost.exe                   4308 Services                   0     11,944 K
RAVBg64.exe                   4384 Console                    1      4,856 K
svchost.exe                   4396 Services                   0      6,128 K
spoolsv.exe                   4484 Services                   0      5,096 K
svchost.exe                   4560 Services                   0      4,572 K
svchost.exe                   4612 Services                   0      9,976 K
svchost.exe                   4712 Services                   0      2,684 K
armsvc.exe                    4632 Services                   0     13,316 K
AlibabaProtect.exe            4652 Services                   0     66,504 K
esif_uf.exe                   4624 Services                   0      1,292 K
ScpService.exe                4832 Services                   0     13,628 K
ibtsiva.exe                   4844 Services                   0      1,696 K
IntelCpHDCPSvc.exe            4856 Services                   0      1,516 K
svchost.exe                   4944 Services                   0     11,504 K
mDNSResponder.exe             4980 Services                   0      2,940 K
openvpnserv.exe               4996 Services                   0      1,104 K
svchost.exe                   5140 Services                   0      8,056 K
EvtEng.exe                    5148 Services                   0      6,420 K
pservice.exe                  5156 Services                   0      2,368 K
WTabletServicePro.exe         5164 Services                   0      3,348 K
RstMwService.exe              5172 Services                   0      2,016 K
vpnclient_x64.exe             5180 Services                   0     19,052 K
svchost.exe                   5188 Services                   0     13,216 K
reWASDService.exe             5204 Services                   0      3,600 K
